parent1,parent_change1,parent2,parent_change2,parent3,parent_change3,parent4,parent_change4,child,child_change,rationale
CPI,up_strong,,,,,,,IR,up_mild,High inflation despite no change in GDP is not too much of a concern and would prompt the central banks to raise their interest rates
CPI,up_strong,GDP,up_strong,,,,,IR,up_strong,High inflation with strong GDP growth signifies a boom which  prompts central banks to raise their interest rates
CPI,up_strong,GDP,up_mild,,,,,IR,up_mild,High inflation with mild GDP growth signifies a growing economy and prompts central banks to raise their interest rates
CPI,up_strong,GDP,down_mild,,,,,IR,up_mild,High inflation despite a mild GDP dip is not too much of a concern and would prompt the central banks to raise their interest rates
CPI,up_strong,GDP,down_strong,,,,,IR,down_mild,"High inflation with a strong decrease in GDP is uncharacteristic but signifies troubled waters, which prompts an interest rate cut and possibly other policy levels to boos the economy"
CPI,up_mild,,,,,,,IR,none,"Interest rate outlook may be to raise but currently no action, inflation is not strong enough to warrant any immediate action"
CPI,up_mild,GDP,up_strong,,,,,IR,up_mild,Inflation with strong GDP growth signifies a boom which  prompts central banks to raise their interest rates
CPI,up_mild,GDP,up_mild,,,,,IR,none,"Interest rate outlook may be to raise but currently no action, since neither inflation or GDP growth is strong enough to warrant any immediate action"
CPI,up_mild,GDP,down_mild,,,,,IR,none,Direction of inflation and GDP are odds with expectation. Monetary Policy Committee (MPC) would be closely watching the situation to undertake appropriate action in the future
CPI,up_mild,GDP,down_strong,,,,,IR,down_mild,GDP decrease supersedes the mild inflation and would warrant a loose monetary policy through lowering interest rates
CPI,down_mild,,,,,,,IR,none,Mild deflationary pressure indicate that MPC would want to closely monitor situation to decide on looser monetary policy in the future
CPI,down_mild,GDP,up_strong,,,,,IR,none,Mild deflationary pressure with a strong increase in GDP is not very common. Something for the MPC to think about
CPI,down_mild,GDP,up_mild,,,,,IR,none,Typically for small deviations of these variables no immediate action is necessary but closer watch may be required given the counterintuitive directions
CPI,down_mild,GDP,down_mild,,,,,IR,none,Mild deflationary pressure and mild drop in GDP levels indicate that MPC would want to closely watch the directions of these variables to decide on looser monetary policy in the future
CPI,down_mild,GDP,down_strong,,,,,IR,down_mild,Deflationary pressures combined with strong drop in GDP levels warrant looser monetary policy
CPI,down_strong,,,,,,,IR,down_strong,Strong deflationary pressures signal the need to reduce the interest rates
CPI,down_strong,GDP,up_strong,,,,,IR,none,"This is extemely rare, can't think of a reason why this would happen. Would certainly puzzle the MPC and would warrant an closer inspection of the rest of the economy"
CPI,down_strong,GDP,up_mild,,,,,IR,none,Relatively rare situation but could be due to an exogenous shock; no immediate action warranted
CPI,down_strong,GDP,down_mild,,,,,IR,down_mild,Strong deflationary pressures combined with indication of lower GDP levels signal the need to reduce the interest rates
CPI,down_strong,GDP,down_strong,,,,,IR,down_strong,"Textbook case of strong deflationary pressures with a substantial decrease in GDP, typically associated with troughs in business cycles. Warrants a loose monetary policy and other unconventional tools (in case of crisis)"
IR,up_strong,,,,,,,BY,up_strong,"When the interest rate goes up, the bond holders demand a higher yield/return to hold the bonds, otherwise they are better off parking their cash as bank deposits"
